Timestamp,Heart rate
2021-02-05 12:00:00,95.0
2021-02-05 12:01:00,87.0
2021-02-05 12:02:00,86.0
2021-02-05 12:03:00,90.0
2021-02-05 12:04:00,85.0
2021-02-05 12:05:00,91.0
2021-02-05 12:06:00,84.0
2021-02-05 12:07:00,91.0
2021-02-05 12:08:00,85.0
2021-02-05 12:09:00,80.0
2021-02-05 12:10:00,78.0
2021-02-05 12:11:00,77.0
2021-02-05 12:12:00,90.0
2021-02-05 12:13:00,98.0
2021-02-05 12:14:00,96.0
2021-02-05 12:15:00,88.0
2021-02-05 12:16:00,81.0
2021-02-05 12:18:00,86.0
2021-02-05 12:19:00,96.0
2021-02-05 12:20:00,93.0
2021-02-05 12:21:00,89.0
2021-02-05 12:23:00,111.0
2021-02-05 12:24:00,113.0
2021-02-05 12:25:00,98.0
2021-02-05 12:26:00,86.0
2021-02-05 12:27:00,79.0
2021-02-05 12:28:00,75.0
2021-02-05 12:29:00,73.0
2021-02-05 12:31:00,72.0
2021-02-05 12:43:00,73.0
2021-02-05 12:44:00,72.0
2021-02-05 12:47:00,74.0
2021-02-05 12:48:00,72.0
2021-02-05 12:54:00,78.0
2021-02-05 12:55:00,88.0
2021-02-05 12:56:00,93.0
2021-02-05 12:57:00,91.0
2021-02-05 12:58:00,86.0
2021-02-05 13:00:00,78.0
2021-02-05 13:01:00,67.0
2021-02-05 13:03:00,68.0
2021-02-05 13:05:00,69.0
2021-02-05 13:07:00,70.0
2021-02-05 13:08:00,79.0
2021-02-05 13:09:00,74.0
2021-02-05 13:10:00,69.0
2021-02-05 13:12:00,70.0
2021-02-05 13:13:00,71.0
2021-02-05 13:14:00,69.0
2021-02-05 13:15:00,67.0
2021-02-05 13:17:00,68.0
2021-02-05 13:19:00,70.0
2021-02-05 13:20:00,84.0
2021-02-05 13:21:00,74.0
2021-02-05 13:22:00,71.0
2021-02-05 13:23:00,68.0
2021-02-05 13:24:00,86.0
2021-02-05 13:25:00,89.0
2021-02-05 13:26:00,90.0
2021-02-05 13:27:00,89.0
2021-02-05 13:28:00,90.0
2021-02-05 13:29:00,91.0
2021-02-05 13:30:00,88.0
2021-02-05 13:31:00,84.0
2021-02-05 13:32:00,87.0
2021-02-05 13:33:00,90.0
2021-02-05 13:34:00,89.0
2021-02-05 13:35:00,83.0
2021-02-05 13:36:00,80.0
2021-02-05 13:37:00,87.0
2021-02-05 13:38:00,90.0
2021-02-05 13:39:00,114.0
2021-02-05 13:40:00,102.0
2021-02-05 13:41:00,86.0
2021-02-05 13:42:00,85.0
2021-02-05 13:43:00,86.0
2021-02-05 13:44:00,89.0
2021-02-05 13:45:00,88.0
2021-02-05 13:46:00,86.0
2021-02-05 13:47:00,88.0
2021-02-05 13:48:00,85.0
2021-02-05 13:49:00,81.0
2021-02-05 13:50:00,86.0
2021-02-05 13:51:00,80.0
2021-02-05 13:52:00,81.0
2021-02-05 13:55:00,86.0
2021-02-05 13:56:00,88.0
2021-02-05 13:57:00,91.0
2021-02-05 13:58:00,89.0
2021-02-05 13:59:00,91.0
2021-02-05 14:00:00,92.0
2021-02-05 14:01:00,87.0
2021-02-05 14:02:00,89.0
2021-02-05 14:03:00,92.0
2021-02-05 14:04:00,88.0
2021-02-05 14:05:00,84.0
2021-02-05 14:06:00,81.0
2021-02-05 14:07:00,86.0
2021-02-05 14:08:00,82.0
2021-02-05 14:09:00,80.0
2021-02-05 14:10:00,81.0
2021-02-05 14:11:00,79.0
2021-02-05 14:12:00,82.0
2021-02-05 14:13:00,86.0
2021-02-05 14:14:00,79.0
2021-02-05 14:15:00,75.0
2021-02-05 14:16:00,77.0
2021-02-05 14:17:00,83.0
2021-02-05 14:19:00,76.0
2021-02-05 14:20:00,73.0
2021-02-05 14:21:00,71.0
2021-02-05 14:22:00,75.0
2021-02-05 14:23:00,87.0
2021-02-05 14:24:00,84.0
2021-02-05 14:25:00,82.0
2021-02-05 14:26:00,85.0
2021-02-05 14:27:00,76.0
2021-02-05 14:28:00,80.0
2021-02-05 14:29:00,82.0
2021-02-05 14:30:00,86.0
2021-02-05 14:31:00,83.0
2021-02-05 14:32:00,75.0
2021-02-05 14:33:00,72.0
2021-02-05 14:34:00,83.0
2021-02-05 14:35:00,87.0
2021-02-05 14:38:00,80.0
2021-02-05 14:39:00,74.0
2021-02-05 14:40:00,72.0
2021-02-05 14:41:00,81.0
2021-02-05 14:42:00,74.0
2021-02-05 14:43:00,71.0
2021-02-05 14:44:00,79.0
2021-02-05 14:45:00,77.0
2021-02-05 14:46:00,72.0
2021-02-05 14:47:00,69.0
2021-02-05 14:48:00,81.0
2021-02-05 14:49:00,87.0
2021-02-05 14:50:00,109.0
2021-02-05 14:51:00,119.0
2021-02-05 14:52:00,98.0
2021-02-05 14:53:00,91.0
2021-02-05 14:54:00,88.0
2021-02-05 14:55:00,85.0
2021-02-05 14:56:00,104.0
2021-02-05 14:57:00,111.0
2021-02-05 14:58:00,93.0
2021-02-05 14:59:00,86.0
2021-02-05 15:00:00,94.0
2021-02-05 15:01:00,108.0
2021-02-05 15:02:00,99.0
2021-02-05 15:03:00,91.0
2021-02-05 15:04:00,88.0
2021-02-05 15:05:00,86.0
2021-02-05 15:06:00,91.0
2021-02-05 15:07:00,99.0
2021-02-05 15:08:00,96.0
2021-02-05 15:09:00,88.0
2021-02-05 15:10:00,87.0
2021-02-05 15:11:00,86.0
2021-02-05 15:12:00,87.0
2021-02-05 15:13:00,88.0
2021-02-05 15:14:00,87.0
2021-02-05 15:15:00,86.0
2021-02-05 15:16:00,84.0
2021-02-05 15:17:00,94.0
2021-02-05 15:18:00,97.0
2021-02-05 15:19:00,89.0
2021-02-05 15:21:00,88.0
2021-02-05 15:22:00,87.0
2021-02-05 15:23:00,85.0
2021-02-05 15:24:00,86.0
2021-02-05 15:25:00,89.0
2021-02-05 15:26:00,90.0
2021-02-05 15:27:00,88.0
2021-02-05 15:28:00,91.0
2021-02-05 15:29:00,96.0
2021-02-05 15:30:00,89.0
2021-02-05 15:31:00,85.0
2021-02-05 15:32:00,84.0
2021-02-05 15:33:00,80.0
2021-02-05 15:34:00,82.0
2021-02-05 15:35:00,89.0
2021-02-05 15:36:00,104.0
2021-02-05 15:37:00,98.0
2021-02-05 15:38:00,85.0
2021-02-05 15:39:00,105.0
2021-02-05 15:40:00,104.0
2021-02-05 15:41:00,87.0
2021-02-05 15:42:00,95.0
