Timestamp,Heart rate
2021-02-01 15:19:00,81.0
2021-02-01 15:21:00,92.0
2021-02-01 15:22:00,91.0
2021-02-01 15:23:00,86.0
2021-02-01 15:24:00,79.0
2021-02-01 15:25:00,83.0
2021-02-01 15:27:00,86.0
2021-02-01 15:28:00,82.0
2021-02-01 15:29:00,79.0
2021-02-01 15:30:00,84.0
2021-02-01 15:31:00,80.0
2021-02-01 15:32:00,82.0
2021-02-01 15:33:00,81.0
2021-02-01 15:34:00,79.0
2021-02-01 15:35:00,76.0
2021-02-01 15:36:00,71.0
2021-02-01 15:37:00,87.0
2021-02-01 15:38:00,86.0
2021-02-01 15:39:00,84.0
2021-02-01 15:40:00,87.0
2021-02-01 15:41:00,86.0
2021-02-01 15:42:00,76.0
2021-02-01 15:43:00,78.0
2021-02-01 15:44:00,81.0
2021-02-01 15:45:00,117.0
2021-02-01 15:46:00,96.0
2021-02-01 15:47:00,82.0
2021-02-01 15:48:00,75.0
2021-02-01 15:49:00,71.0
2021-02-01 15:50:00,76.0
2021-02-01 15:51:00,87.0
2021-02-01 15:52:00,83.0
2021-02-01 15:53:00,85.0
2021-02-01 15:54:00,77.0
2021-02-01 15:55:00,88.0
2021-02-01 15:56:00,85.0
2021-02-01 15:57:00,95.0
2021-02-01 15:58:00,94.0
2021-02-01 15:59:00,89.0
2021-02-01 16:00:00,84.0
2021-02-01 16:01:00,91.0
2021-02-01 16:02:00,90.0
2021-02-01 16:03:00,84.0
2021-02-01 16:04:00,75.0
2021-02-01 16:05:00,73.0
2021-02-01 16:06:00,75.0
2021-02-01 16:07:00,82.0
2021-02-01 16:08:00,88.0
2021-02-01 16:09:00,89.0
2021-02-01 16:10:00,81.0
2021-02-01 16:11:00,88.0
2021-02-01 16:12:00,91.0
2021-02-01 16:14:00,92.0
2021-02-01 16:15:00,82.0
2021-02-01 16:16:00,83.0
2021-02-01 16:17:00,84.0
2021-02-01 16:18:00,86.0
2021-02-01 16:20:00,88.0
2021-02-01 16:21:00,84.0
2021-02-01 16:22:00,91.0
2021-02-01 16:23:00,86.0
2021-02-01 16:24:00,85.0
2021-02-01 16:25:00,87.0
2021-02-01 16:26:00,84.0
2021-02-01 16:27:00,90.0
2021-02-01 16:28:00,88.0
2021-02-01 16:29:00,83.0
2021-02-01 16:30:00,85.0
2021-02-01 16:31:00,82.0
2021-02-01 16:32:00,79.0
2021-02-01 16:33:00,76.0
2021-02-01 16:34:00,72.0
2021-02-01 16:35:00,82.0
2021-02-01 16:36:00,79.0
2021-02-01 16:37:00,76.0
2021-02-01 16:38:00,73.0
2021-02-01 16:39:00,82.0
2021-02-01 16:40:00,81.0
2021-02-01 16:41:00,83.0
2021-02-01 16:42:00,86.0
2021-02-01 16:43:00,79.0
2021-02-01 16:44:00,71.0
2021-02-01 16:45:00,72.0
2021-02-01 16:47:00,73.0
2021-02-01 16:49:00,72.0
2021-02-01 16:50:00,71.0
2021-02-01 16:51:00,72.0
2021-02-01 16:52:00,70.0
2021-02-01 16:53:00,71.0
2021-02-01 16:56:00,72.0
2021-02-01 16:57:00,84.0
2021-02-01 16:58:00,79.0
2021-02-01 16:59:00,74.0
2021-02-01 17:00:00,73.0
2021-02-01 17:01:00,72.0
2021-02-01 17:02:00,74.0
2021-02-01 17:04:00,72.0
2021-02-01 17:06:00,80.0
2021-02-01 17:07:00,75.0
2021-02-01 17:09:00,72.0
2021-02-01 17:11:00,73.0
2021-02-01 17:12:00,71.0
2021-02-01 17:13:00,73.0
2021-02-01 17:14:00,85.0
2021-02-01 17:15:00,88.0
2021-02-01 17:16:00,89.0
2021-02-01 17:17:00,88.0
2021-02-01 17:18:00,87.0
2021-02-01 17:19:00,83.0
2021-02-01 17:20:00,75.0
2021-02-01 17:21:00,76.0
2021-02-01 17:22:00,93.0
2021-02-01 17:25:00,94.0
2021-02-01 17:26:00,103.0
2021-02-01 17:27:00,97.0
2021-02-01 17:28:00,94.0
2021-02-01 17:29:00,93.0
2021-02-01 17:31:00,88.0
2021-02-01 17:32:00,89.0
2021-02-01 17:33:00,91.0
2021-02-01 17:34:00,85.0
2021-02-01 17:35:00,80.0
2021-02-01 17:36:00,97.0
2021-02-01 17:37:00,100.0
2021-02-01 17:38:00,97.0
2021-02-01 17:39:00,93.0
2021-02-01 17:41:00,91.0
2021-02-01 17:42:00,84.0
2021-02-01 17:43:00,80.0
2021-02-01 17:46:00,89.0
2021-02-01 17:47:00,88.0
2021-02-01 17:48:00,83.0
2021-02-01 17:49:00,79.0
2021-02-01 17:50:00,77.0
2021-02-01 17:51:00,79.0
2021-02-01 17:53:00,73.0
2021-02-01 17:54:00,81.0
2021-02-01 17:55:00,88.0
2021-02-01 17:56:00,86.0
2021-02-01 17:57:00,82.0
2021-02-01 17:58:00,76.0
2021-02-01 17:59:00,74.0
2021-02-01 18:00:00,73.0
2021-02-01 18:01:00,80.0
2021-02-01 18:02:00,88.0
2021-02-01 18:03:00,84.0
2021-02-01 18:04:00,78.0
2021-02-01 18:05:00,89.0
2021-02-01 18:06:00,88.0
2021-02-01 18:07:00,84.0
2021-02-01 18:08:00,76.0
2021-02-01 18:09:00,71.0
2021-02-01 18:10:00,69.0
2021-02-01 18:11:00,70.0
2021-02-01 18:12:00,71.0
2021-02-01 18:14:00,82.0
2021-02-01 18:15:00,83.0
2021-02-01 18:16:00,89.0
2021-02-01 18:17:00,81.0
2021-02-01 18:18:00,83.0
2021-02-01 18:19:00,91.0
2021-02-01 18:20:00,82.0
2021-02-01 18:21:00,77.0
2021-02-01 18:22:00,80.0
2021-02-01 18:23:00,81.0
2021-02-01 18:24:00,82.0
2021-02-01 18:25:00,74.0
2021-02-01 18:26:00,73.0
2021-02-01 18:27:00,85.0
2021-02-01 18:28:00,80.0
2021-02-01 18:29:00,72.0
2021-02-01 18:30:00,90.0
2021-02-01 18:31:00,85.0
